state,state_po,votes_2016_d,votes_2016_r,votes_2020_d,votes_2020_r
ALABAMA,AL,729547,1318255,849624,1441170
ALASKA,AK,116454,163387,153778,189951
ARIZONA,AZ,1161167,1252401,1672143,1661686
ARKANSAS,AR,380494,684872,423932,760647
CALIFORNIA,CA,8753788,4483810,11110250,6006429
COLORADO,CO,1338870,1202484,1804352,1364607
CONNECTICUT,CT,897572,673215,1080831,714717
DELAWARE,DE,235603,185127,296268,200603
DISTRICT OF COLUMBIA,DC,282830,12723,317323,18586
FLORIDA,FL,4504975,4617886,5297045,5668731
GEORGIA,GA,1877963,2089104,2473633,2461854
HAWAII,HI,266891,128847,366130,196864
IDAHO,ID,189765,409055,287021,554119
ILLINOIS,IL,3090729,2146015,3471915,2446891
INDIANA,IN,1033126,1557286,1242416,1729519
IOWA,IA,653669,800983,759061,897672
KANSAS,KS,427005,671018,570323,771406
KENTUCKY,KY,628854,1202971,772474,1326646
LOUISIANA,LA,780154,1178638,856034,1255776
MAINE,ME,357735,335593,435072,360737
MARYLAND,MD,1678006,943428,1985023,976414
MASSACHUSETTS,MA,1995196,1090893,2382202,1167202
MICHIGAN,MI,2268839,2279543,2804040,2649852
MINNESOTA,MN,1367705,1322949,1717077,1484065
MISSISSIPPI,MS,485131,700714,539398,756764
MISSOURI,MO,1071068,1594511,1253014,1718736
MONTANA,MT,177709,279240,244786,343602
NEBRASKA,NE,284494,495961,374583,556846
NEVADA,NV,539260,512058,703486,669890
NEW HAMPSHIRE,NH,348526,345790,424921,365654
NEW JERSEY,NJ,2148278,1601933,2608335,1883274
NEW MEXICO,NM,385234,319667,501614,401894
NEW YORK,NY,4379789,2527142,5230985,3244798
NORTH CAROLINA,NC,2189316,2362631,2684292,2758773
NORTH DAKOTA,ND,93758,216794,114902,235595
OHIO,OH,2394164,2841005,2679165,3154834
OKLAHOMA,OK,420375,949136,503890,1020280
OREGON,OR,1002106,782403,1340383,958448
PENNSYLVANIA,PA,2926441,2970733,3458229,3377674
RHODE ISLAND,RI,252525,180543,307486,199922
SOUTH CAROLINA,SC,855373,1155389,1091541,1385103
SOUTH DAKOTA,SD,117458,227721,150471,261043
TENNESSEE,TN,870695,1522925,1143711,1852475
TEXAS,TX,3877868,4685047,5259126,5890347
UTAH,UT,310674,515211,560282,865140
VERMONT,VT,178573,95369,242820,112704
VIRGINIA,VA,1981473,1769443,2413568,1962430
WASHINGTON,WA,1742718,1221747,2369612,1584651
WEST VIRGINIA,WV,188794,489371,235984,545382
WISCONSIN,WI,1382536,1405284,1630866,1610184
WYOMING,WY,55973,174419,73491,193559
