state,year,dist,vote_D,inc_D,vote_R,inc_R
"AK",1958,98,27945,0,20699,0
"AK",1960,98,33546,1,25517,0
"AK",1962,98,31953,1,26638,0
"AK",1964,98,34605,1,32566,0
"AK",1966,98,31867,1,34040,0
"AK",1968,98,36785,0,43577,1
"AK",1970,98,44137,0,35947,0
"AK",1972,98,53651,1,41750,0
"AK",1976,98,34194,0,83722,1
"AK",1978,98,55176,0,68811,1
"AK",1980,98,39922,0,114089,1
"AK",1982,98,52001,0,128274,1
"AK",1984,98,86052,0,113582,1
"AK",1986,98,74053,0,101799,1
"AK",1988,98,71881,0,120595,1
"AK",1990,98,91677,0,99003,1
"AK",1992,98,102378,0,111849,1
"AK",1994,98,68172,0,118537,1
"AK",1996,98,85114,0,138834,1
"AK",1998,98,77232,0,139676,1
"AK",2000,98,45372,0,190862,1
"AK",2002,98,39357,0,169685,1
"AK",2004,98,67074,0,213216,1
"AK",2006,98,93879,0,132743,1
"AK",2008,98,142560,0,158939,1
"AK",2010,98,77606,0,175384,1
"AL",1946,1,12448,1,0,0
"AL",1946,2,17711,1,0,0
"AL",1946,3,13397,1,0,0
"AL",1946,4,16299,1,2207,0
"AL",1946,5,21560,1,0,0
"AL",1946,6,13551,1,0,0
"AL",1946,7,22853,1,8565,0
"AL",1946,8,17624,1,1453,0
"AL",1946,9,29940,0,1880,0
"AL",1948,1,19778,1,0,0
"AL",1948,2,21271,1,0,0
"AL",1948,3,16279,1,0,0
"AL",1948,4,17282,1,3054,0
"AL",1948,5,20548,1,0,0
"AL",1948,6,13968,0,2994,0
"AL",1948,7,21552,0,0,0
"AL",1948,9,33781,1,5006,0
"AL",1950,1,14206,1,0,0
"AL",1950,2,17441,1,0,0
"AL",1950,3,10914,1,0,0
"AL",1950,4,14608,0,980,0
"AL",1950,5,17269,1,0,0
"AL",1950,6,11709,1,0,0
"AL",1950,7,20580,1,0,0
"AL",1950,8,13742,1,0,0
"AL",1950,9,30743,1,0,0
"AL",1952,1,30758,1,0,0
"AL",1952,2,38421,1,0,0
